,aspiration,body-style,bore,city-mpg,compression-ratio,curb-weight,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type,height,highway-mpg,horsepower,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,stroke,symboling,wheel-base,width
150,std,hatchback,3.05,35,9.0,1985,fwd,front,92,ohc,2bbl,gas,54.5,39,62.0,158.7,toyota,87.0,four,two,4800.0,5348.0,3.03,1,95.7,63.6
151,std,hatchback,3.05,31,9.0,2040,fwd,front,92,ohc,2bbl,gas,54.5,38,62.0,158.7,toyota,87.0,four,two,4800.0,6338.0,3.03,1,95.7,63.6
152,std,hatchback,3.05,31,9.0,2015,fwd,front,92,ohc,2bbl,gas,54.5,38,62.0,158.7,toyota,74.0,four,four,4800.0,6488.0,3.03,1,95.7,63.6
153,std,wagon,3.05,31,9.0,2280,fwd,front,92,ohc,2bbl,gas,59.1,37,62.0,169.7,toyota,77.0,four,four,4800.0,6918.0,3.03,0,95.7,63.6
154,std,wagon,3.05,27,9.0,2290,4wd,front,92,ohc,2bbl,gas,59.1,32,62.0,169.7,toyota,81.0,four,four,4800.0,7898.0,3.03,0,95.7,63.6
155,std,wagon,3.05,27,9.0,3110,4wd,front,92,ohc,2bbl,gas,59.1,32,62.0,169.7,toyota,91.0,four,four,4800.0,8778.0,3.03,0,95.7,63.6
156,std,sedan,3.19,30,9.0,2081,fwd,front,98,ohc,2bbl,gas,53.0,37,70.0,166.3,toyota,91.0,four,four,4800.0,6938.0,3.03,0,95.7,64.4
157,std,hatchback,3.19,30,9.0,2109,fwd,front,98,ohc,2bbl,gas,52.8,37,70.0,166.3,toyota,91.0,four,four,4800.0,7198.0,3.03,0,95.7,64.4
158,std,sedan,3.27,34,22.5,2275,fwd,front,110,ohc,idi,diesel,53.0,36,56.0,166.3,toyota,91.0,four,four,4500.0,7898.0,3.35,0,95.7,64.4
159,std,hatchback,3.27,38,22.5,2275,fwd,front,110,ohc,idi,diesel,52.8,47,56.0,166.3,toyota,91.0,four,four,4500.0,7788.0,3.35,0,95.7,64.4
160,std,sedan,3.19,38,9.0,2094,fwd,front,98,ohc,2bbl,gas,53.0,47,70.0,166.3,toyota,91.0,four,four,4800.0,7738.0,3.03,0,95.7,64.4
161,std,hatchback,3.19,28,9.0,2122,fwd,front,98,ohc,2bbl,gas,52.8,34,70.0,166.3,toyota,91.0,four,four,4800.0,8358.0,3.03,0,95.7,64.4
162,std,sedan,3.19,28,9.0,2140,fwd,front,98,ohc,2bbl,gas,52.8,34,70.0,166.3,toyota,91.0,four,four,4800.0,9258.0,3.03,0,95.7,64.4
163,std,sedan,3.19,29,9.0,2169,rwd,front,98,ohc,2bbl,gas,52.6,34,70.0,168.7,toyota,168.0,four,two,4800.0,8058.0,3.03,1,94.5,64.0
164,std,hatchback,3.19,29,9.0,2204,rwd,front,98,ohc,2bbl,gas,52.6,34,70.0,168.7,toyota,168.0,four,two,4800.0,8238.0,3.03,1,94.5,64.0
165,std,sedan,3.24,26,9.4,2265,rwd,front,98,dohc,mpfi,gas,52.6,29,112.0,168.7,toyota,168.0,four,two,6600.0,9298.0,3.08,1,94.5,64.0
166,std,hatchback,3.24,26,9.4,2300,rwd,front,98,dohc,mpfi,gas,52.6,29,112.0,168.7,toyota,168.0,four,two,6600.0,9538.0,3.08,1,94.5,64.0
167,std,hardtop,3.62,24,9.3,2540,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,8449.0,3.5,2,98.4,65.6
168,std,hardtop,3.62,24,9.3,2536,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,9639.0,3.5,2,98.4,65.6
169,std,hatchback,3.62,24,9.3,2551,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,9989.0,3.5,2,98.4,65.6
170,std,hardtop,3.62,24,9.3,2679,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,11199.0,3.5,2,98.4,65.6
171,std,hatchback,3.62,24,9.3,2714,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,11549.0,3.5,2,98.4,65.6
172,std,convertible,3.62,24,9.3,2975,rwd,front,146,ohc,mpfi,gas,53.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,17669.0,3.5,2,98.4,65.6
173,std,sedan,3.31,29,8.7,2326,fwd,front,122,ohc,mpfi,gas,54.9,34,92.0,175.6,toyota,65.0,four,four,4200.0,8948.0,3.54,-1,102.4,66.5
174,turbo,sedan,3.27,30,22.5,2480,fwd,front,110,ohc,idi,diesel,54.9,33,73.0,175.6,toyota,65.0,four,four,4500.0,10698.0,3.35,-1,102.4,66.5
175,std,hatchback,3.31,27,8.7,2414,fwd,front,122,ohc,mpfi,gas,53.9,32,92.0,175.6,toyota,65.0,four,four,4200.0,9988.0,3.54,-1,102.4,66.5
176,std,sedan,3.31,27,8.7,2414,fwd,front,122,ohc,mpfi,gas,54.9,32,92.0,175.6,toyota,65.0,four,four,4200.0,10898.0,3.54,-1,102.4,66.5
177,std,hatchback,3.31,27,8.7,2458,fwd,front,122,ohc,mpfi,gas,53.9,32,92.0,175.6,toyota,65.0,four,four,4200.0,11248.0,3.54,-1,102.4,66.5
178,std,hatchback,3.27,20,9.3,2976,rwd,front,171,dohc,mpfi,gas,52.0,24,161.0,183.5,toyota,197.0,six,two,5200.0,16558.0,3.35,3,102.9,67.7
179,std,hatchback,3.27,19,9.3,3016,rwd,front,171,dohc,mpfi,gas,52.0,24,161.0,183.5,toyota,197.0,six,two,5200.0,15998.0,3.35,3,102.9,67.7
180,std,sedan,3.27,20,9.2,3131,rwd,front,171,dohc,mpfi,gas,54.1,24,156.0,187.8,toyota,90.0,six,four,5200.0,15690.0,3.35,-1,104.5,66.5
181,std,wagon,3.27,19,9.2,3151,rwd,front,161,dohc,mpfi,gas,54.1,24,156.0,187.8,toyota,,six,four,5200.0,15750.0,3.35,-1,104.5,66.5
