,region,lat,long
0,Blekinge,56.1431,15.3667
1,Dalarna,61.0917,14.6664
2,Gotland,57.4684,18.4867
3,Gävleborg,60.6747,17.1444
4,Halland,56.6743,12.8577
5,Jämtland Härjedalen,63.0,14.0
6,Jönköping,57.3708,14.3439
7,Kalmar,57.15,16.15
8,Kronoberg,56.9251,14.732
9,Norrbotten,66.8309,20.3991
10,Skåne,55.91,13.6
11,Stockholm,59.3194,18.075
12,Sörmland,59.03,16.39
13,Uppsala,59.84972,17.63889
14,Värmland,59.9809,13.20189
15,Västerbotten,64.9035619,15.990117199999986
16,Västernorrland,62.924004,17.836418
17,Västmanland,59.781254,16.134008
18,Västra Götaland,58.253223,12.244518
19,Örebro,59.2752626,15.213410500000009
20,Östergötland,58.6411935,16.23851609999997
